pixel_id,latitude_x,longitude_y,amplitude_onda,curvatura_ricci
689,21,17,254.0,2.3124866
690,21,18,254.0,0.0
691,21,19,254.0,0.0
692,21,20,254.0,0.0
693,21,21,254.0,0.0
694,21,22,254.0,0.0
695,21,23,254.0,0.0
696,21,24,254.0,0.0
697,21,25,254.0,0.0
698,21,26,254.0,0.0
699,21,27,254.0,0.0
700,21,28,254.0,0.0
701,21,29,254.0,0.0
702,21,30,254.0,0.0
703,21,31,254.0,0.0
704,22,0,254.0,0.0
705,22,1,254.0,0.0
706,22,2,254.0,0.0
707,22,3,254.0,0.0
708,22,4,254.0,0.0
709,22,5,254.0,0.0
710,22,6,254.0,0.0
711,22,7,254.0,0.0
712,22,8,254.0,0.0
713,22,9,254.0,0.0
714,22,10,254.0,0.0
715,22,11,254.0,0.0
716,22,12,254.0,0.0
717,22,13,254.0,0.0
718,22,14,254.0,0.0
719,22,15,254.0,2.3651667
720,22,16,254.0,0.0009813309
721,22,17,254.0,0.0
722,22,18,254.0,0.0
723,22,19,254.0,0.0
724,22,20,254.0,0.0
725,22,21,254.0,0.0
726,22,22,254.0,0.0
727,22,23,254.0,0.0
728,22,24,254.0,0.0
729,22,25,254.0,0.0
730,22,26,254.0,0.0
731,22,27,254.0,0.0
732,22,28,254.0,0.0
733,22,29,254.0,0.0
734,22,30,254.0,0.0
735,22,31,254.0,0.0
736,23,0,254.0,0.0
737,23,1,254.0,0.0
738,23,2,254.0,0.0
739,23,3,254.0,0.0
740,23,4,254.0,0.0
741,23,5,254.0,0.0
742,23,6,254.0,0.0
743,23,7,254.0,0.0
744,23,8,254.0,0.0
745,23,9,254.0,0.0
746,23,10,254.0,0.0
747,23,11,254.0,0.0
748,23,12,254.0,0.0
749,23,13,254.0,0.0
750,23,14,254.0,0.0
751,23,15,254.0,0.46431065
752,23,16,254.0,1.5949441
753,23,17,254.0,0.0
754,23,18,254.0,0.0
755,23,19,254.0,0.0
756,23,20,254.0,0.0
757,23,21,254.0,0.0
758,23,22,254.0,0.0
759,23,23,254.0,0.0
760,23,24,254.0,0.0
761,23,25,254.0,0.0
762,23,26,254.0,0.0
763,23,27,254.0,0.0
764,23,28,254.0,0.0
765,23,29,254.0,0.0
766,23,30,254.0,0.0
767,23,31,254.0,0.0
768,24,0,254.0,0.0
769,24,1,254.0,0.0
770,24,2,254.0,0.0
771,24,3,254.0,0.0
772,24,4,254.0,0.0
773,24,5,254.0,0.0
774,24,6,254.0,0.0
775,24,7,254.0,0.0
776,24,8,254.0,0.0
777,24,9,254.0,0.0
778,24,10,254.0,0.0
779,24,11,254.0,0.0
780,24,12,254.0,0.0
781,24,13,254.0,0.0
782,24,14,254.0,0.46431065
783,24,15,99.75,1.654863
784,24,16,9.5,1.6611536
785,24,17,254.0,1.5949441
786,24,18,254.0,0.0
787,24,19,254.0,0.0
788,24,20,254.0,0.0
789,24,21,254.0,0.0
790,24,22,254.0,0.0
791,24,23,254.0,0.0
792,24,24,254.0,0.0
793,24,25,254.0,0.0
794,24,26,254.0,0.0
795,24,27,254.0,0.0
796,24,28,254.0,0.0
797,24,29,254.0,0.0
798,24,30,254.0,0.0
799,24,31,254.0,0.0
800,25,0,254.0,0.0
801,25,1,254.0,0.0
802,25,2,254.0,0.0
803,25,3,254.0,0.0
804,25,4,254.0,0.0
805,25,5,254.0,0.0
806,25,6,254.0,0.0
807,25,7,254.0,0.0
808,25,8,254.0,0.0
809,25,9,254.0,0.0
810,25,10,254.0,0.0
811,25,11,254.0,0.0
812,25,12,254.0,0.0
813,25,13,254.0,0.0
814,25,14,254.0,0.4412763
815,25,15,104.5,1.6611536
816,25,16,9.5,1.654863
817,25,17,254.0,1.5949441
818,25,18,254.0,0.0
819,25,19,254.0,0.0
820,25,20,254.0,0.0
821,25,21,254.0,0.0
